INTENSIDAD,TENSION,T1,T2,SOC
-31.9972076,3.2074464,39.49776,38.09609,88.23474186
0,2.9282063,41.1482,39.80428,0.292987095
31.9972076,3.4540322,39.74711,38.57058,66.8601072
31.99951171,3.43511101,39.29591,38.00119,49.92334795
-31.99490349,3.08690013,38.23915,37.00475,27.96947901
31.99951171,3.36583505,39.53338,38.20285,21.20697066
-31.99951171,3.15342947,38.19166,36.96916,54.6890141
-31.9972076,3.15037766,38.13229,36.8624,52.85598141
31.99490349,3.34111543,39.65212,38.30961,15.45001523
-31.99951171,2.63553826,39.80648,38.46382,3.805308868
-31.9972076,3.22545205,39.86584,38.49941,95.76246625
0,3.34294652,40.43578,39.08067,99.69177997
-31.99951171,3.05333028,38.70223,37.37248,19.00817141
0,3.34569314,40.64951,39.3535,99.39295012
31.9972076,3.25169757,40.43578,39.09253,4.83065872
0,3.34203098,40.2458,38.95018,99.29782719
-31.9972076,3.17326619,38.88033,37.56228,70.06466149
-31.99951171,3.08873121,38.17979,36.88612,28.29508124
31.99951171,3.48790723,40.36454,39.03322,84.80376341
-31.9972076,3.04631113,38.74972,37.50297,17.80888545
31.9972076,3.4821088,40.40016,39.00949,83.69159011
31.99951171,3.34355688,39.60463,38.29775,16.16961064
31.99951171,3.31242847,40.0202,38.58245,7.926354528
31.9972076,3.4586099,39.83022,38.58245,70.26108029
31.99951171,3.39513237,39.33153,38.00119,27.92346177
-31.99951171,3.18852522,39.17717,37.8707,79.74623423
-31.9972076,3.12718395,37.97793,36.72005,42.03432683
0,3.34233616,40.32892,38.90273,99.18001769
31.99951171,3.41008621,39.24842,37.95374,34.33281314
31.9972076,3.46318761,39.96083,38.64176,73.57627878
-31.9972076,2.51102464,40.03208,38.71293,3.177549523
-31.99951171,3.18303197,39.07031,37.76394,76.48171935
31.9972076,3.46868086,40.19831,38.81969,77.45528957
-31.99490349,3.16136416,38.45288,37.26572,60.98302968
-31.99951171,3.00297551,39.02282,37.83512,11.98130769
0,2.17196918,40.9226,39.61448,0.213405069
31.99951171,3.34081025,39.6165,38.23844,15.9658236
-32.00181582,3.15861753,38.29852,37.02847,58.27830753
31.99951171,3.44243534,39.40277,38.20285,55.98868711
31.99951171,3.46471351,39.98458,38.60617,74.30557241
-31.99951171,3.01640345,38.92783,37.63346,13.30345536
-31.99951171,3.04600595,38.7141,37.51483,17.50205191
-32.00181582,3.16044862,38.44101,37.19455,60.02358036
0,2.93034257,41.04134,39.72124,0.292987095
31.99951171,3.48973831,40.41203,39.09253,85.33963814
31.99951171,3.48638132,40.34079,39.05694,84.61016315
-31.99951171,3.14946212,38.12042,36.87426,52.05050235
-31.99951171,3.23979553,39.98458,38.68921,97.94897289
-31.9972076,2.86778058,39.37902,38.04864,6.862161784
31.99951171,3.05088884,40.99384,39.61448,0.753102525
32.00181582,3.4290074,39.22467,38.00119,45.73004792
-31.9972076,3.08354314,38.28665,37.08778,27.04333137
31.99951171,3.48607614,40.38829,39.09253,84.82210696
31.99951171,3.48485542,40.36454,38.93832,83.90039464
-31.9972076,3.22972457,39.87772,38.57058,96.50983302
0,3.36247807,41.08883,39.74496,99.39295012
31.9972076,3.46196689,39.98458,38.73666,72.70948537
-31.99951171,3.25505455,40.09145,38.7248,98.93621486
31.99951171,3.31700618,39.96083,38.61803,9.052822144
0,3.3417258,40.2458,38.79597,99.18001769
-31.99951171,3.04875257,38.66661,37.39621,18.43893993
0,2.23941405,41.02946,39.828,-1.0764e-12
-31.9972076,3.16350042,38.47663,37.15896,62.00488911
31.99951171,3.41313802,39.1653,38.02491,35.631454
0,2.91783017,41.04134,39.6382,-1.0764e-12
31.99951171,3.44029908,39.31966,37.98933,54.9448767
-31.99951171,3.22026398,39.74711,38.35706,93.77914421
-31.9972076,2.80247196,39.50964,38.27402,5.604194626
32.00181582,3.44060426,39.29591,38.08423,54.39628894
-31.99951171,3.13664454,37.97793,36.73191,45.686142
-31.9972076,3.21080339,39.55713,38.23844,89.67386403
31.99951171,3.39452201,39.35528,38.04864,27.7158665
31.99951171,3.39116503,39.37902,38.10795,26.75639127
-31.9972076,3.15678645,38.34602,37.00475,57.38513726
-32.00181582,3.09971771,38.07292,36.87426,32.47148784
-31.9972076,3.15007248,38.16791,36.98102,52.82786504
-31.99951171,3.19249256,39.29591,37.97747,81.87854028
31.99951171,3.49065385,40.5189,39.2586,86.56985215
31.9972076,3.56969558,40.87511,39.51958,96.04748796
-31.9972076,3.21232929,39.60463,38.29775,90.57245664
31.99490349,3.47356374,40.19831,38.89087,79.66520904
-31.99951171,3.14030671,38.01355,36.75564,47.48513959
0,2.91691463,41.73001,40.30249,0.696165579
32.00181582,3.37651637,39.46214,38.19099,23.36587866
31.99951171,3.50164034,40.5189,39.2586,88.73131932
-32.00181582,3.15678645,38.29852,37.0522,57.89772645
-31.99951171,3.20469978,39.49776,38.16726,87.17995639
32.00181582,3.40672923,39.24842,37.97747,32.12125624
31.99951171,3.29381247,40.30517,39.08067,6.577505771
31.99951171,3.43327993,39.17717,37.89443,47.91969449
31.9972076,3.45006485,39.64025,38.30961,63.57583699
0,3.3463035,40.75637,39.27047,99.29782719
0,3.3557641,41.04134,39.57889,99.18001769
31.99951171,3.48760204,40.36454,39.08067,84.96995222
-31.99951171,3.11375601,38.02543,36.75564,36.5712776
-31.99951171,3.14915694,38.17979,36.89799,52.86047007
-31.9972076,2.34378576,40.32892,39.04508,2.368006868
31.99951171,3.37560082,39.53338,38.26216,23.42183888
0,3.34966049,40.86324,39.53144,99.18001769
32.00181582,3.41741054,39.14155,37.91815,38.38995316
-31.99951171,3.20683604,39.53338,38.19099,88.72126961
31.9972076,3.32982376,39.83022,38.35706,12.74588352
31.9972076,3.34905013,39.55713,38.14354,17.45607901
-31.9972076,3.17112993,38.74972,37.41993,68.53852543
-31.9972076,3.14152743,38.04918,36.75564,48.08481711
-32.00181582,3.11558709,38.02543,36.7675,37.16788282
32.00181582,3.4836347,40.32892,39.05694,83.57402372
31.99951171,3.50865949,40.54264,39.21115,89.96090314
-31.99951171,3.06309606,38.536,37.33689,21.19749091
-31.99951171,3.1091783,38.06105,36.82681,35.28512128
